date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-10-25,0,0,0,0,0
2023-10-26,0,0,0,0,0
2023-10-27,5,13,5,202950,5
2023-10-28,0,0,0,0,0
2023-10-29,3,6,3,95700,3
2023-10-30,4,8,4,134600,4
2023-10-31,2,5,2,185700,2
2023-11-01,8,11,6,258900,6
2023-11-02,19,45,20,1050300,17
2023-11-03,18,50,19,1246100,18
2023-11-04,18,43,18,1003100,18
2023-11-05,11,27,11,501100,11
2023-11-06,7,12,6,375160,5
2023-11-07,1,4,2,112560,1
2023-11-08,7,14,8,324910,7
2023-11-09,17,27,15,820066,15
2023-11-10,16,37,17,962366,15
2023-11-11,16,47,18,1130516,16
2023-11-12,11,25,11,629200,11
2023-11-13,13,29,13,735100,13
2023-11-14,9,21,9,593900,9
2023-11-15,8,26,8,560500,8
2023-11-16,14,33,14,743800,14
2023-11-17,13,30,13,712400,13
2023-11-18,10,21,10,742100,10
2023-11-19,20,46,20,1045100,20
2023-11-20,8,17,8,595700,8
2023-11-21,6,13,6,322100,6
2023-11-22,16,33,16,907500,16
2023-11-23,15,37,16,929100,15
2023-11-24,30,87,33,1384050,30
2023-11-25,20,58,21,1411100,20
2023-11-26,19,48,19,1193700,19
2023-11-27,6,15,7,596100,6
2023-11-28,10,16,9,296800,9
2023-11-29,4,10,5,355800,4
2023-11-30,4,10,4,144100,4
2023-12-01,10,21,10,486150,10
2023-12-02,17,51,17,1201000,17
2023-12-03,8,18,8,442700,8
2023-12-04,3,10,3,194550,3
2023-12-05,1,3,1,39600,1
2023-12-06,4,5,3,71500,3
2023-12-07,5,11,6,424000,5
2023-12-08,8,21,8,383200,8
2023-12-09,10,37,11,743000,10
2023-12-10,11,25,11,650200,11
2023-12-11,11,27,8,471950,8
2023-12-12,11,32,13,779950,11
2023-12-13,5,12,6,182700,5
2023-12-14,3,6,3,183300,3
2023-12-15,8,19,9,448300,8
2023-12-16,9,23,9,742200,9
2023-12-17,10,24,11,716950,10
2023-12-18,4,8,4,143400,4
2023-12-19,1,2,1,95800,1
2023-12-20,6,13,6,195250,6
2023-12-21,2,5,2,123300,2
2023-12-22,8,21,9,570600,8
2023-12-23,12,25,12,794460,12
2023-12-24,6,14,6,332200,6
2023-12-25,24,32,23,347310,23
2023-12-26,19,24,20,209750,19
2023-12-27,23,36,23,588950,23
2023-12-28,30,41,30,828600,30
2023-12-29,32,51,32,1212100,32
2023-12-30,29,43,29,909650,29
2023-12-31,24,42,24,1080300,24
2024-01-01,22,48,23,1244000,21
2024-01-02,18,29,18,547550,18
2024-01-03,1,1,1,7150,1
2024-01-04,16,38,16,859000,16
2024-01-05,18,30,19,571353,18
2024-01-06,24,37,24,690950,24
2024-01-07,12,27,13,529200,12
2024-01-08,16,28,17,475850,16
2024-01-09,21,25,22,468800,21
2024-01-10,26,29,26,276500,26
2024-01-11,23,26,23,219850,23
2024-01-12,28,50,28,531150,28
2024-01-13,33,56,33,695950,33
2024-01-14,28,37,28,613750,28
2024-01-15,44,50,44,872010,44
2024-01-16,31,32,31,332850,31
2024-01-17,139,93,77,968460,64
2024-01-18,136,94,76,1118550,63
2024-01-19,109,129,84,1712170,56
2024-01-20,62,74,49,1265990,47
2024-01-21,58,99,72,1690715,38
2024-01-22,74,56,47,407340,47
2024-01-23,108,126,93,1409895,75
2024-01-24,113,83,74,661180,73
2024-01-25,96,121,100,1565930,63
2024-01-26,67,81,59,996340,39
2024-01-26,67,79,59,878690,39
2024-01-27,38,94,50,1928310,37
2024-01-28,25,39,27,508850,22
2024-01-29,56,113,70,1349230,48
2024-01-30,23,38,34,310620,21
2024-01-31,25,50,45,477750,24
2024-02-01,43,59,50,642770,29
2024-02-02,38,69,51,778128,35
2024-02-03,18,42,22,669518,18
2024-02-04,42,48,34,649970,30
2024-02-05,43,71,51,970520,39
2024-02-06,50,79,85,911010,33
2024-02-07,27,88,88,866030,27
2024-02-08,34,114,80,1629150,33
2024-02-09,33,92,63,1385145,31
2024-02-10,47,146,79,2723370,47
2024-02-11,41,76,40,1598640,28
2024-02-12,20,64,43,1041210,20
2024-02-13,15,49,44,848650,15
2024-02-14,33,63,56,608160,31
2024-02-15,33,70,55,805860,30
2024-02-16,31,57,41,791550,18
2024-02-17,19,79,42,1301700,19
2024-02-18,37,84,58,1202730,27
2024-02-19,17,26,21,437660,14
2024-02-20,12,28,35,289710,9
2024-02-21,19,39,54,332390,18
2024-02-22,31,54,55,895110,30
2024-02-23,39,101,66,1776850,38
2024-02-24,46,140,108,1419060,46
2024-02-25,36,41,43,622270,23
2024-02-26,20,66,62,1024965,19
2024-02-27,18,78,65,994920,18
2024-02-28,16,103,68,864750,15
2024-02-29,20,23,19,286210,15
2024-03-01,29,59,38,730260,15
2024-03-02,54,173,121,1943700,54
2024-03-03,78,115,64,1254615,43
2024-03-04,34,101,66,360835,34
2024-03-05,18,81,52,979500,14
2024-03-06,23,101,67,584490,20
2024-03-07,44,73,61,536330,43
2024-03-08,24,83,56,1109150,24
2024-03-09,23,113,61,1856510,21
2024-03-10,24,47,27,785850,22
2024-03-11,48,105,71,1144015,47
2024-03-12,34,77,49,869425,27
2024-03-13,32,98,62,530920,29
2024-03-14,33,116,69,1438530,32
2024-03-15,45,94,55,1310080,31
2024-03-16,47,71,59,1093680,32
2024-03-17,35,53,46,781730,27
2024-03-18,25,106,65,1316250,24
2024-03-19,26,82,50,1196280,26
2024-03-20,25,69,43,777430,25
2024-03-21,35,54,38,695600,34
2024-03-22,18,40,25,553260,18
2024-03-23,24,95,39,1842150,24
2024-03-24,18,47,19,581810,18
2024-03-25,12,56,25,673830,12
2024-03-26,19,90,49,1302450,19
2024-03-27,18,53,40,284100,18
2024-03-28,26,43,26,449930,24
2024-03-29,22,67,44,960150,22
2024-03-30,20,61,27,890510,20
2024-03-31,9,47,21,292550,8
2024-04-01,26,45,25,694550,12
2024-04-02,12,18,12,140339,11
2024-04-03,9,18,11,171139,9
2024-04-04,9,15,10,253700,9
2024-04-05,11,29,14,460250,11
2024-04-06,4,11,5,161300,4
2024-04-07,5,10,6,103500,5
2024-04-08,4,10,5,87550,4
2024-04-09,5,7,6,110900,5
2024-04-10,5,7,6,66850,5
2024-04-11,4,6,5,77150,4
2024-04-12,6,43,24,572610,6
2024-04-13,5,22,8,424400,5
2024-04-14,10,9,24,113600,7
2024-04-15,1,5,5,75100,1
2024-04-16,24,59,33,590500,15
2024-04-17,3,7,4,85900,3
2024-04-18,7,15,24,185700,7
2024-04-19,7,15,8,152100,7
2024-04-20,49,75,54,619600,49
2024-04-21,6,11,23,181300,6
2024-04-22,0,1,1,8000,0
2024-04-23,1,3,2,36600,1
2024-04-24,14,14,14,0,7
2024-04-25,3,3,1,24200,1
