date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-10-25,0,0,0,0,0
2023-10-26,0,0,0,0,0
2023-10-27,5,13,5,202950,5
2023-10-28,0,0,0,0,0
2023-10-29,3,6,3,95700,3
2023-10-30,4,8,4,134600,4
2023-10-31,2,5,2,185700,2
2023-11-01,8,11,6,258900,6
2023-11-02,19,45,20,1050300,17
2023-11-03,18,50,19,1246100,18
2023-11-04,18,43,18,1003100,18
2023-11-05,11,27,11,501100,11
2023-11-06,7,12,6,375160,5
2023-11-07,1,4,2,112560,1
2023-11-08,7,14,8,324910,7
2023-11-09,17,27,15,820066,15
2023-11-10,16,37,17,962366,15
2023-11-11,16,47,18,1130516,16
2023-11-12,11,25,11,629200,11
2023-11-13,13,29,13,735100,13
2023-11-14,9,21,9,593900,9
2023-11-15,8,26,8,560500,8
2023-11-16,14,33,14,743800,14
2023-11-17,13,30,13,712400,13
2023-11-18,10,21,10,742100,10
2023-11-19,20,46,20,1045100,20
2023-11-20,8,17,8,595700,8
2023-11-21,6,13,6,322100,6
2023-11-22,16,33,16,907500,16
2023-11-23,15,37,16,929100,15
2023-11-24,30,87,33,1384050,30
2023-11-25,20,58,21,1411100,20
2023-11-26,19,48,19,1193700,19
2023-11-27,6,15,7,596100,6
2023-11-28,10,16,9,296800,9
2023-11-29,4,10,5,355800,4
2023-11-30,4,10,4,144100,4
2023-12-01,10,21,10,486150,10
2023-12-02,17,51,17,1201000,17
2023-12-03,8,18,8,442700,8
2023-12-04,3,10,3,194550,3
2023-12-05,1,3,1,39600,1
2023-12-06,4,5,3,71500,3
2023-12-07,5,11,6,424000,5
2023-12-08,8,21,8,383200,8
2023-12-09,10,37,11,743000,10
2023-12-10,11,25,11,650200,11
2023-12-11,11,27,8,471950,8
2023-12-12,11,32,13,779950,11
2023-12-13,5,12,6,182700,5
2023-12-14,3,6,3,183300,3
2023-12-15,8,19,9,448300,8
2023-12-16,9,23,9,742200,9
2023-12-17,10,24,11,716950,10
2023-12-18,4,8,4,143400,4
2023-12-19,1,2,1,95800,1
2023-12-20,6,13,6,195250,6
2023-12-21,2,5,2,123300,2
2023-12-22,8,21,9,570600,8
2023-12-23,12,25,12,794460,12
2023-12-24,6,14,6,332200,6
2023-12-25,24,32,23,347310,23
2023-12-26,19,24,20,209750,19
2023-12-27,23,36,23,588950,23
2023-12-28,30,41,30,828600,30
2023-12-29,32,51,32,1212100,32
2023-12-30,29,43,29,909650,29
2023-12-31,24,42,24,1080300,24
2024-01-01,22,48,23,1244000,21
2024-01-02,18,29,18,547550,18
2024-01-03,1,1,1,7150,1
2024-01-04,16,38,16,859000,16
2024-01-05,18,30,19,571353,18
2024-01-06,24,37,24,690950,24
2024-01-07,12,27,13,529200,12
2024-01-08,16,28,17,475850,16
2024-01-09,21,25,22,468800,21
2024-01-10,26,29,26,276500,26
2024-01-11,23,26,23,219850,23
2024-01-12,28,50,28,531150,28
2024-01-13,33,56,33,695950,33
2024-01-14,28,37,28,613750,28
2024-01-15,44,50,44,872010,44
2024-01-16,31,32,31,332850,31
2024-01-17,139,93,77,968460,64
2024-01-18,136,94,76,1118550,63
2024-01-19,109,129,84,1712170,56
2024-01-20,62,74,49,1265990,47
2024-01-21,58,99,72,1690715,38
2024-01-22,74,56,47,407340,47
2024-01-23,108,126,93,1409895,75
2024-01-24,113,83,74,661180,73
2024-01-25,96,121,100,1565930,63
2024-01-26,67,81,59,996340,39
2024-01-27,67,99,53,2054260,43
2024-01-28,46,40,28,517100,25
2024-01-29,90,122,78,1422490,58
2024-01-30,70,46,42,377940,36
2024-01-31,63,57,44,532380,35
2024-02-01,68,71,56,743530,41
2024-02-02,59,72,54,797058,39
2024-02-03,40,43,24,676668,21
2024-02-04,62,50,35,696170,33
2024-02-05,82,71,51,970520,49
2024-02-06,82,78,84,904080,40
2024-02-07,73,88,88,866030,39
2024-02-08,71,95,63,1307180,42
2024-02-09,49,91,62,1378215,32
2024-02-10,64,144,78,2700910,48
2024-02-11,60,80,41,1686640,31
2024-02-12,50,64,43,1041210,23
2024-02-13,46,50,45,858650,19
2024-02-14,60,63,56,608160,33
2024-02-15,64,70,55,805860,34
2024-02-16,49,57,41,791550,22
2024-02-17,45,79,42,1301700,21
2024-02-18,63,84,58,1202730,29
2024-02-19,57,26,21,437660,20
2024-02-20,58,32,39,322325,19
2024-02-21,65,39,54,332390,25
2024-02-22,67,54,55,895110,35
2024-02-23,59,101,66,1776850,41
2024-02-24,60,139,107,1400360,47
2024-02-25,56,54,47,900900,27
2024-02-26,55,67,63,1032995,25
2024-02-27,55,79,66,1002950,25
2024-02-28,45,104,69,872780,19
2024-02-29,47,23,19,286210,19
2024-03-01,43,57,37,707160,20
2024-03-02,70,175,121,2407350,56
2024-03-03,90,80,45,774080,42
2024-03-04,87,100,65,354400,39
2024-03-05,69,80,52,966300,18
2024-03-06,80,101,67,584490,26
2024-03-07,106,74,65,546230,51
2024-03-08,83,84,57,1116300,31
2024-03-09,77,84,45,1475360,26
2024-03-10,85,50,29,842500,29
2024-03-11,108,69,54,628355,53
2024-03-12,93,45,34,409405,33
2024-03-13,92,91,59,514420,36
2024-03-14,92,117,70,1445680,40
2024-03-15,63,61,38,843130,33
2024-03-16,68,97,65,1641480,39
2024-03-17,68,57,48,865330,31
2024-03-18,72,78,49,1013200,35
2024-03-19,60,82,50,1196280,30
2024-03-20,57,69,43,777430,28
2024-03-21,67,54,38,695600,37
2024-03-22,52,40,25,553260,22
2024-03-23,40,95,39,1842150,25
2024-03-24,34,47,19,581810,19
2024-03-25,29,59,26,723330,14
2024-03-26,35,90,49,1302450,20
2024-03-27,34,53,40,284100,19
2024-03-28,42,43,26,449930,25
2024-03-29,41,66,44,957180,25
2024-03-30,36,61,27,890510,21
2024-03-31,25,47,21,292550,9
2024-04-01,26,45,25,694550,12
2024-04-02,27,18,12,140339,12
2024-04-03,24,14,10,115600,10
2024-04-04,24,15,10,253700,10
2024-04-05,26,29,14,460250,12
2024-04-06,19,11,5,161300,5
2024-04-07,20,10,6,103500,6
2024-04-08,19,10,5,87550,5
2024-04-09,20,7,6,110900,6
2024-04-10,20,7,6,66850,6
2024-04-11,19,6,5,77150,5
2024-04-12,21,43,24,572610,7
2024-04-13,21,54,25,935900,7
2024-04-14,26,13,26,214800,9
2024-04-15,18,3,3,23400,3
2024-04-16,24,59,33,590500,15
2024-04-17,13,7,4,85900,4
2024-04-18,17,15,24,185700,8
2024-04-19,17,15,8,152100,8
2024-04-20,60,77,55,665580,51
2024-04-21,16,11,23,181300,7
2024-04-22,10,1,1,8000,1
2024-04-23,11,3,2,36600,2
2024-04-24,25,17,16,43200,9
2024-04-25,13,4,2,32200,2
2024-04-26,5,28,15,421700,5
2024-04-27,0,0,0,0,0
2024-04-28,0,0,0,0,0
2024-04-29,0,0,0,0,0
2024-04-30,0,0,0,0,0
2024-05-01,0,0,0,0,0
2024-05-02,0,0,0,0,0
2024-05-03,0,0,0,0,0
2024-05-04,0,0,0,0,0
2024-05-05,0,0,0,0,0
2024-05-06,0,0,0,0,0
2024-05-07,0,0,0,0,0
2024-05-08,0,0,0,0,0
2024-05-09,0,0,0,0,0
2024-05-10,0,0,0,0,0
2024-05-11,0,0,0,0,0
2024-05-12,0,0,0,0,0
2024-05-13,0,0,0,0,0
2024-05-14,0,0,0,0,0
2024-05-15,0,0,0,0,0
2024-05-16,0,0,0,0,0
2024-05-17,0,0,0,0,0
2024-05-18,0,0,0,0,0
2024-05-19,0,0,0,0,0
2024-05-20,0,0,0,0,0
2024-05-21,0,0,0,0,0
2024-05-22,0,0,0,0,0
2024-05-23,0,0,0,0,0
2024-05-24,0,0,0,0,0
2024-05-25,0,0,0,0,0
2024-05-26,0,0,0,0,0
2024-05-27,0,0,0,0,0
2024-05-28,0,0,0,0,0
2024-05-29,0,0,0,0,0
2024-05-30,0,0,0,0,0
2024-05-31,0,0,0,0,0
2024-06-01,0,0,0,0,0
2024-06-02,0,0,0,0,0
2024-06-03,0,0,0,0,0
2024-06-04,0,0,0,0,0
2024-06-05,0,0,0,0,0
2024-06-06,0,0,0,0,0
2024-06-07,0,0,0,0,0
2024-06-08,0,0,0,0,0
2024-06-09,0,0,0,0,0
2024-06-10,0,0,0,0,0
2024-06-11,0,0,0,0,0
2024-06-12,0,0,0,0,0
2024-06-13,0,0,0,0,0
2024-06-14,0,0,0,0,0
2024-06-15,0,0,0,0,0
